spd,rpm,accel,stop,fuel
0,555,0,0,0.0010013580322265625
0,554,0,0,0.0
0,555,0,0,0.0
0,553,0,0,0.0
0,553,0,0,0.00099945068359375
0,554,0,0,0.0
0,554,0,0,0.0
0,554,0,0,0.0
133,1191,0,0,0.004001617431640625
143,1197,1,0,0.005001068115234375
145,1198,1,0,0.004001617431640625
130,1198,0,1,0.00499725341796875
0,555,0,0,0.00099945068359375
0,554,0,0,0.0
146,1208,0,0,0.003997802734375
144,1220,0,0,0.005001068115234375
152,1265,0,0,0.005001068115234375
0,1187,0,0,0.0
0,1750,0,0,0.0010013580322265625
0,1746,0,0,0.00099945068359375
0,1748,0,0,0.00099945068359375
0,1749,0,0,0.00099945068359375
0,1751,0,0,0.0010013580322265625
0,1747,0,0,0.00099945068359375
0,1754,0,0,0.0
0,1753,0,0,0.00099945068359375
0,1749,0,0,0.0010013580322265625
0,1753,0,0,0.00099945068359375
0,1277,0,0,0.0
0,1268,0,0,0.0010013580322265625
0,1259,0,0,0.00099945068359375
0,1248,0,0,0.0
0,1236,0,0,0.00099945068359375
0,1225,0,0,0.0010013580322265625
0,1210,0,0,0.0
0,1197,0,0,0.00099945068359375
171,1716,0,1,0.006000518798828125
203,1715,0,0,0.006999969482421875
208,1721,0,0,0.006999969482421875
206,1718,1,0,0.006999969482421875
207,1726,0,0,0.006999969482421875
198,1723,0,1,0.006999969482421875
0,1289,0,0,0.0
0,1285,0,0,0.00099945068359375
0,604,0,0,0.0
47,745,0,0,0.0019989013671875
179,1529,0,0,0.006000518798828125
0,1320,0,0,0.0
0,1319,0,0,0.00099945068359375
150,1242,0,0,0.00499725341796875
0,1390,0,0,0.00099945068359375
188,1616,0,0,0.006000518798828125
107,884,1,0,0.003002166748046875
208,1716,1,0,0.006999969482421875
63,1042,1,0,0.00299835205078125
23,816,0,0,0.0010013580322265625
25,707,0,0,0.00099945068359375
21,563,0,0,0.00099945068359375
16,0,0,0,0.0010013580322265625
0,0,0,1,0.0
18,243,1,0,0.0
19,515,0,0,0.00099945068359375
20,517,0,0,0.00099945068359375
21,552,0,0,0.00099945068359375
26,671,0,0,0.0010013580322265625
18,566,0,0,0.0
19,781,0,0,0.0010013580322265625
21,549,0,0,0.00099945068359375
19,548,0,0,0.00099945068359375
0,808,0,0,0.0
0,553,0,0,0.0
12,634,0,0,0.00099945068359375
7,872,0,0,0.00099945068359375
197,1665,1,0,0.006000518798828125
22,592,0,0,0.00099945068359375
22,594,0,0,0.0010013580322265625
0,567,0,0,0.0
0,568,0,0,0.0
8,566,0,1,0.00099945068359375
18,570,0,0,0.0
14,567,1,0,0.00099945068359375
0,567,0,0,0.0
0,568,0,0,0.0
0,568,0,0,0.0010013580322265625
0,568,0,0,0.0
0,568,0,1,0.0
0,604,0,0,0.0
220,1846,0,0,0.007999420166015625
198,1664,0,0,0.006999969482421875
202,1666,0,0,0.006999969482421875
201,1660,0,0,0.006000518798828125
200,1663,0,0,0.006999969482421875
200,1653,0,0,0.006999969482421875
200,1656,0,0,0.006999969482421875
198,1647,0,0,0.006999969482421875
195,1650,0,0,0.0059986114501953125
199,1646,0,0,0.006999969482421875
198,1645,0,0,0.006000518798828125
26,1400,0,0,0.0019989013671875
29,1369,0,0,0.00099945068359375
28,1290,0,0,0.0020008087158203125
26,1199,0,0,0.00099945068359375
30,1352,0,0,0.00099945068359375
30,1379,0,0,0.0020008087158203125
30,1390,0,0,0.0019989013671875
29,1395,0,0,0.0010013580322265625
222,1834,0,0,0.008001327514648438
0,555,0,0,0.0
19,1101,0,0,0.0010013580322265625
22,1002,0,0,0.00099945068359375
221,1829,0,0,0.006999969482421875
0,563,0,0,0.0
0,563,0,0,0.0
0,1460,0,0,0.00099945068359375
0,1466,0,0,0.00099945068359375
0,1460,0,0,0.0
0,1458,0,0,0.00099945068359375
0,561,0,0,0.0
0,562,0,0,0.00099945068359375
0,561,0,0,0.0
0,561,0,0,0.0
0,564,0,0,0.00099945068359375
0,561,0,0,0.00099945068359375
0,561,0,0,0.0
0,561,0,0,0.0
0,562,0,0,0.0010013580322265625
0,562,0,0,0.0
206,1705,1,0,0.006999969482421875
0,604,0,0,0.0
130,1115,0,0,0.004001617431640625
203,1701,0,0,0.006999969482421875
0,604,0,0,0.00099945068359375
186,1701,0,0,0.006000518798828125
86,815,0,0,0.006999969482421875
197,1627,0,0,0.0
0,603,0,1,0.0049991607666015625
160,1702,0,0,0.00099945068359375
14,653,0,0,0.002002716064453125
51,797,0,0,0.006999969482421875
206,1704,0,0,0.00099945068359375
16,708,0,1,0.006999969482421875
196,1730,0,0,0.006000518798828125
193,1699,0,0,0.006999969482421875
203,1675,1,0,0.006999969482421875
201,1674,0,0,0.006999969482421875
203,1679,0,0,0.0059986114501953125
203,1679,0,0,0.006999969482421875
202,1667,0,0,0.006999969482421875
206,1704,0,0,0.006999969482421875
202,1670,0,0,0.006000518798828125
199,1669,0,0,0.006999969482421875
192,1666,0,0,0.0010013580322265625
206,1706,0,0,0.00099945068359375
0,1656,0,0,0.0
0,1613,0,0,0.00099945068359375
0,611,0,0,0.0010013580322265625
43,802,0,0,0.00099945068359375
0,1775,0,0,0.00099945068359375
0,1780,0,0,0.0010013580322265625
0,1785,0,0,0.0
0,1773,0,0,0.00099945068359375
0,1763,0,0,0.00099945068359375
0,1745,0,0,0.00099945068359375
0,1730,0,0,0.0
0,1713,0,0,0.003997802734375
0,605,0,0,0.00099945068359375
123,1030,0,0,0.006000518798828125
10,533,0,0,0.00099945068359375
176,1657,0,0,0.006999969482421875
